Ib,unita di misura,fondoscala,Tensione (V) per 0.14,sulla linea,fondoscala(V),Corrente (mA) per 0.14,fondoscala,errore i 0.14,errore v 0.14,,Ib (mA),fondoscala,Tensione (V) per 0.07,sulla linea,fondoscala(V),Corrente (mA) per 0.07,fondoscala,errore i 0.07,errore v 0.07,,fondoscala zero(V)
0.14,mA,60.00 mA,4,1,1,25.58,60.00 mA,0.2858,0.23324022,,0.07,60.00 mA,4,1,1,15.41,60.00 mA,0.1841,0.23324022,,0.005
,,,3.5,0.5,1,25.35,60.00 mA,0.2835,0.145003448,,,,3.5,0.5,1,15.23,60.00 mA,0.1823,0.145003448,,
,,,3.2,1,1,24.8,60.00 mA,0.278,0.221849048,,,,3.2,1,1,15.14,60.00 mA,0.1814,0.221849048,,
,,,3,1,1,24.5,60.00 mA,0.275,0.219319402,,,,3,1,1,15,60.00 mA,0.18,0.219319402,,
,,,2.5,1,0.5,23.85,60.00 mA,0.2685,0.125004,,,,2.5,1,0.5,14.75,60.00 mA,0.1775,0.125004,,
,,,2.2,1,1,23.45,60.00 mA,0.2645,0.210611016,,,,2.2,1,1,14.56,60.00 mA,0.1756,0.210611016,,
,,,2,1,0.5,23.23,60.00 mA,0.2623,0.116623325,,,,2,1,0.5,14.48,60.00 mA,0.1748,0.116623325,,
,,,1.8,1,0.5,22.91,60.00 mA,0.2591,0.113652981,,,,1.8,1,0.5,14.32,60.00 mA,0.1732,0.113652981,,
,,,1.5,1,0.5,22.64,60.00 mA,0.2564,0.109663121,,,,1.5,1,0.5,14.13,60.00 mA,0.1713,0.109663121,,
,,,1.2,1,0.5,22.17,60.00 mA,0.2517,0.106287346,,,,1.2,1,0.5,13.98,60.00 mA,0.1698,0.106287346,,
,,,1,1,0.2,22.1,60.00 mA,0.251,0.050009999,,,,1,1,0.2,13.81,60.00 mA,0.1681,0.050009999,,
,,,0.8,1,0.2,21.78,60.00 mA,0.2478,0.046658333,,,,0.8,1,0.2,13.66,60.00 mA,0.1666,0.046658333,,
,,,0.6,1,0.2,21.18,60.00 mA,0.2418,0.043874822,,,,0.6,1,0.2,13.43,60.00 mA,0.1643,0.043874822,,
,,,0.4,1,0.1,19.94,60.00 mA,0.2294,0.023345235,,,,0.4,1,0.1,13.13,60.00 mA,0.1613,0.023345235,,
,,,0.3,1,0.1,18.38,60.00 mA,0.2138,0.021954498,,,,0.3,1,0.1,12.67,60.00 mA,0.1567,0.021954498,,
